"Core Mathematics,Fine Arts,Music & Dance",Code: AS1033 | Track: ARTS,,,,
,,,,,
font-medium,flex,ant-tag,ant-tag 2,ant-tag 3,
ST. PAUL'S GEKANO BOYS HIGH SCHOOL,NYAMIRA,BOYS,BOARDING,C2,
MANGU HIGH,KIAMBU,BOYS,BOARDING,C1,
BIWOTT MIXED SEC,ELGEYO MARAKWET,MIXED,DAY,C4,
SR. MARY STEPHEN NKOITOI MIXED SECONDARY SCHOOL,NAROK,MIXED,HYBRID,PR,
DUDI GIRLS,HOMA BAY,GIRLS,BOARDING,C2,
SAMETA BOYS,KISII,BOYS,BOARDING,C2,
GENDIA BOYS,HOMA BAY,BOYS,BOARDING,C2,
SNR CHIEF KOINANGE GIRLS,KIAMBU,GIRLS,BOARDING,C2,
KISUMU GIRLS HIGH SCHOOL,KISUMU,GIRLS,BOARDING,C1,
TONGAREN MIXED DAY SECONDARY SCHOOL,BUNGOMA,MIXED,DAY,C4,
KITALE SCHOOL - SECONDARY,TRANS NZOIA,GIRLS,BOARDING,C2,
WAA GIRLS,KWALE,GIRLS,BOARDING,C2,
NGERE HIGH,KISUMU,BOYS,BOARDING,C2,
ST JOSEPH WAMAGANA,NYERI,MIXED,DAY,C4,
ST. EDWARD NYABIOTO,KISII,MIXED,BOARDING,C3,
ELCK SOOK BOYS SECONDARY,WEST POKOT,BOYS,BOARDING,C2,
MITABONI ABC GIRLS,MACHAKOS,GIRLS,BOARDING,C3,
ST. JOSEPH MUSOKOTO SECONDARY SCHOOL,BUSIA,MIXED,DAY,C4,
NYAGESENDA,KISII,MIXED,DAY,C4,
LWALA,MIGORI,MIXED,DAY,C4,
KISUMU BOYS HIGH SCHOOL,KISUMU,BOYS,BOARDING,C1,
KESOGON MIXED,TRANS NZOIA,MIXED,DAY,C4,
BISHOP OKOTH GIRLS' MBAGA SEC. SCHL.,SIAYA,GIRLS,BOARDING,C2,
GOT ODIMA MIXED,SIAYA,MIXED,DAY,C4,
KANZAU MIXED,KITUI,MIXED,DAY,C4,
ST TERESA OF AVILA,NANDI,GIRLS,BOARDING,C3,
KATILU GIRLS SEC,TURKANA,GIRLS,BOARDING,C1,
NAKURIO GIRLS,TURKANA,GIRLS,BOARDING,C3,
KARABA BOYS,EMBU,BOYS,BOARDING,C3,
KAGUMO HIGH SCHOOL,NYERI,BOYS,BOARDING,C1,
KIONYO MIXED,MIGORI,MIXED,DAY,C4,
NYANCHWA GIRLS,KISII,GIRLS,BOARDING,C2,
NDAGENE SEC,MERU,BOYS,BOARDING,C3,
KAPLONG GIRLS HIGH SCHOOL,BOMET,GIRLS,BOARDING,C1,
ST GETRUDE KINTHITHE,EMBU,MIXED,DAY,C4,
HANDEGE SEC,KIAMBU,MIXED,DAY,C4,
SEKO GIRLS,UASIN GISHU,GIRLS,BOARDING,C2,
ST FRANCIS NYATIEKO SEC,NYAMIRA,MIXED,DAY,C4,
KANDIEGE MIXED,HOMA BAY,MIXED,DAY,C4,
OSIGA MIXED DAY SECONDARY SCHOOL [NAROK-NAROK WEST],NAROK,MIXED,DAY,C4,
BISHOP NDINGI,MACHAKOS,MIXED,BOARDING,C3,
ST AMBROSE KIMANGAO SECONDARY SCHOOL,KITUI,MIXED,HYBRID,C3,
MAKUENI GIRLS,MAKUENI,GIRLS,BOARDING,C1,
KIPKURION MIXED SECONDARY,BOMET,MIXED,DAY,C4,
SOYMINING SECONDARY,TRANS NZOIA,MIXED,DAY,C4,
ST ALPHONSUS MUTEI SEC,ELGEYO MARAKWET,GIRLS,BOARDING,C3,
LEPOLOS MIXED DAY SECONDARY SCHOOL [NAROK-NAROK WEST],NAROK,MIXED,DAY,C4,
AMBIRA HIGH,SIAYA,BOYS,BOARDING,C2,
KAAGA GIRLS HIGH,MERU,GIRLS,BOARDING,C1,
NGOROFA SECONDARY SCHOOL,NAKURU,MIXED,DAY,C4,
TOTUM MIXED DAY,WEST POKOT,MIXED,DAY,C4,
LIONS HIGH SCHOOL,KISUMU,MIXED,DAY,C4,
GATHIRIMU GIRLS,KIAMBU,GIRLS,BOARDING,C3,
KERINGET SEC,NAKURU,BOYS,BOARDING,C3,
MUKULULU DAY SEC SCH,MERU,MIXED,DAY,C4,
EMBULBUL MIXED DAY SECONDARY,KAJIADO,MIXED,DAY,C4,
UGENYA HIGH SCH,SIAYA,BOYS,BOARDING,C2,
BISHOP MAZZOLDI SECONDARY SCHOOL,KAJIADO,MIXED,HYBRID,PR,
KILGORIS GIRLS,NAROK,GIRLS,BOARDING,C2,
ST PATRICKS ITEN,ELGEYO MARAKWET,BOYS,BOARDING,C1,
St. BAKHITA GIRLS -KIANGINI,MAKUENI,GIRLS,BOARDING,C3,
LWANDA KAWUOR MIXED SECONDARY,HOMA BAY,MIXED,BOARDING,C3,
KABUYEFWE BOYS,TRANS NZOIA,BOYS,BOARDING,C2,
ST CYPRIAN BOYS,MERU,MIXED,BOARDING,C3,
DIEMO MIXED SEC. SCH.,KISUMU,MIXED,DAY,C4,
ST. ANNS SEGA GIRLS,SIAYA,GIRLS,BOARDING,C2,
TENWEK,BOMET,BOYS,BOARDING,C1,
KATULANI SEC,KITUI,BOYS,BOARDING,C3,
ST FRANCIS RANGALA GIRLS,SIAYA,GIRLS,BOARDING,C1,
ORTUM BOYS SEC,WEST POKOT,BOYS,BOARDING,C2,
KOMBANI,KWALE,MIXED,DAY,C4,
CHOGORIA GIRLS,THARAKA NITHI,GIRLS,BOARDING,C1,
TENGECHA GIRLS,KERICHO,GIRLS,BOARDING,C1,
KAGWATHI SDA SCHOOL,MURANG'A,MIXED,HYBRID,PR,
CHEBWAI SDA SECONDARY SCHOOL,KAKAMEGA,MIXED,HYBRID,PR,
ST.MARKS BOYS CHERANGANY,TRANS NZOIA,BOYS,BOARDING,C2,
KABARNET BOYS,BARINGO,BOYS,BOARDING,C1,
SIMISI,KITUI,MIXED,DAY,C4,
TUTUTHA SEC,MAKUENI,MIXED,DAY,C4,
ROPHINE FIELD SENIOR SCHOOL,NAIROBI,MIXED,HYBRID,PR,
MADIRA GIRLS,VIHIGA,GIRLS,BOARDING,C2,
KADIKA GIRLS SCH,MIGORI,GIRLS,BOARDING,C1,
MUGUNGA SEC,KAKAMEGA,MIXED,DAY,C4,
KOYONZO MIXED,KAKAMEGA,BOYS,BOARDING,C3,
UKWALA BOYS,SIAYA,BOYS,BOARDING,C2,
YAGO MIXED,MIGORI,MIXED,DAY,C4,
KAMAMA SEC,EMBU,BOYS,BOARDING,C2,
NYANCHWA BOYS,KISII,BOYS,BOARDING,C2,
KAKUMA SEC,TURKANA,BOYS,BOARDING,C3,
ST ANNES MUSOLI SEC,KAKAMEGA,GIRLS,BOARDING,C2,
ROMBO GIRLS SEC,KAJIADO,GIRLS,BOARDING,C3,
CHEBARA HIGH,ELGEYO MARAKWET,BOYS,BOARDING,C2,
KERICHO HIGH,KERICHO,BOYS,BOARDING,C2,
,,,,,
"Fine Arts,Literature in English,Music & Dance",Code: AS1031 | Track: ARTS,,,,
font-medium,flex,ant-tag,ant-tag 2,ant-tag 3,ant-tag 4
RUBIRI SECONDARY SCHOOL,NAKURU,MIXED,DAY,C4,REGULAR
KIANDERI GIRLS,MURANG'A,GIRLS,BOARDING,C2,REGULAR
SENA SEC,HOMA BAY,MIXED,BOARDING,C3,REGULAR
BAHATI GIRLS,NAKURU,GIRLS,BOARDING,C1,REGULAR
KOYONZO MIXED,KAKAMEGA,BOYS,BOARDING,C3,REGULAR
NGARA GIRLS HIGH SCHOOL,NAIROBI,GIRLS,BOARDING,C2,INTERGRATED
KOMBANI,KWALE,MIXED,DAY,C4,REGULAR
KARAMUGI GIRLS,THARAKA NITHI,GIRLS,BOARDING,C2,REGULAR
KYANDULA SEC,KITUI,MIXED,DAY,C4,REGULAR
LITER GIRLS SEC,ELGEYO MARAKWET,GIRLS,DAY,C4,REGULAR
MWAMBA SECONDARY,KAKAMEGA,MIXED,DAY,C4,REGULAR
ELDAMA RAVINE GIRLS,BARINGO,GIRLS,BOARDING,C2,REGULAR
GITWEKU GIRLS SEC,MURANG'A,GIRLS,BOARDING,C3,REGULAR
ST ANNE`S GIRLS KAPKEMICH,NANDI,GIRLS,BOARDING,C3,REGULAR
MUDAVADI GIRLS,VIHIGA,GIRLS,BOARDING,C2,REGULAR
CHIANDA HIGH,SIAYA,BOYS,BOARDING,C2,REGULAR
UTUMISHI SACCO SECONDARY SCHOOL[KAJIADO-ISINYA],KAJIADO,MIXED,DAY,C4,REGULAR
KAMAGUT,UASIN GISHU,MIXED,BOARDING,C2,REGULAR
MWICUIRI,NYERI,MIXED,DAY,C4,REGULAR
MBANI MIXED SECONDARY,HOMA BAY,MIXED,DAY,C4,REGULAR
KIPSIGAK HIGH,NANDI,BOYS,BOARDING,C2,REGULAR
MAKUENI GIRLS,MAKUENI,GIRLS,BOARDING,C1,REGULAR
SIRONGA GIRLS,NYAMIRA,GIRLS,BOARDING,C1,REGULAR
TIGOI GIRLS,VIHIGA,GIRLS,BOARDING,C2,REGULAR
KAPLONG BOYS,BOMET,BOYS,BOARDING,C1,REGULAR
GATANGA CCM,MURANG'A,GIRLS,BOARDING,C3,REGULAR
SDA KIRIIRIA,THARAKA NITHI,MIXED,HYBRID,PR,REGULAR
MULAHA MIXED,SIAYA,MIXED,DAY,C4,REGULAR
AMANI SECONDARY SCHOOL,TRANS NZOIA,MIXED,BOARDING,C3,REGULAR
KENYATTA MAHIGA BOYS,NYERI,BOYS,BOARDING,C2,REGULAR
TARAGAI MIXED SECONDARY,MIGORI,MIXED,BOARDING,C3,REGULAR
LAWSON HIGH SCHOOL,KITUI,MIXED,DAY,PR,REGULAR
ST PETERS BOYS MUMIAS,KAKAMEGA,BOYS,BOARDING,C1,REGULAR
ALLIANCE GIRLS,KIAMBU,GIRLS,BOARDING,C1,REGULAR
ST ANNES MUSOLI SEC,KAKAMEGA,GIRLS,BOARDING,C2,REGULAR
ANDINGO OPANGA,KISUMU,MIXED,DAY,C4,REGULAR
KERERI GIRLS,KISII,GIRLS,BOARDING,C1,REGULAR
ST. JOSEPH GIRLS HIGH SCHOOL - MAUNGU,TAITA TAVETA,GIRLS,BOARDING,PR,REGULAR
ST KEVINS SEC,TURKANA,MIXED,DAY,C4,REGULAR
BOOKER ACADEMY,KAKAMEGA,MIXED,HYBRID,PR,REGULAR
NYAKOIBA SDA,KISII,MIXED,BOARDING,C3,REGULAR
EBEREGE,KISII,MIXED,DAY,C4,REGULAR
SIMISI,KITUI,MIXED,DAY,C4,REGULAR
BAHARI GIRLS,KILIFI,GIRLS,BOARDING,C1,INTERGRATED
ST. PETER'S SUNEKA SEC SCH,KISII,GIRLS,BOARDING,C2,REGULAR
KIONYO MIXED,MIGORI,MIXED,DAY,C4,REGULAR
SKYLINE SCHOOL,KIAMBU,MIXED,HYBRID,PR,REGULAR
HULUGHO GIRLS SEC,GARISSA,GIRLS,BOARDING,C3,REGULAR
KIGUMO BENDERA  BOYS,MURANG'A,BOYS,BOARDING,C2,REGULAR
MACHAKOS BOYS,MACHAKOS,BOYS,BOARDING,C1,REGULAR
KESOGON MIXED,TRANS NZOIA,MIXED,DAY,C4,REGULAR
MUMBI GIRLS SEC,MURANG'A,GIRLS,BOARDING,C2,REGULAR
CHEPWOSTUIYET,BOMET,MIXED,DAY,C4,REGULAR
BUTERE GIRLS,KAKAMEGA,GIRLS,BOARDING,C1,REGULAR
ST. STEVENS SENIOR SCHOOL,MACHAKOS,BOYS,BOARDING,PR,REGULAR
ST.BAKHITA'S EBUSIRATSI SEC,VIHIGA,GIRLS,BOARDING,C3,REGULAR
NGUVIU BOYS,EMBU,BOYS,BOARDING,C2,REGULAR
GATHIRIMU GIRLS,KIAMBU,GIRLS,BOARDING,C3,REGULAR
ROPHINE FIELD SENIOR SCHOOL,NAIROBI,MIXED,HYBRID,PR,REGULAR
MWONGORI SEC,NYAMIRA,MIXED,BOARDING,C2,REGULAR
ST JOSEPHS  GIRLS,TRANS NZOIA,GIRLS,BOARDING,C1,REGULAR
MURANGA HIGH,MURANG'A,BOYS,BOARDING,C1,REGULAR
SOSIO SEC,NAROK,MIXED,BOARDING,C3,REGULAR
KAGUMO HIGH SCHOOL,NYERI,BOYS,BOARDING,C1,REGULAR
KAMELEI MIXED SEC,WEST POKOT,MIXED,DAY,C4,REGULAR
TARANGANYA BOYS,MIGORI,BOYS,BOARDING,C1,REGULAR
NAMACHANJA SEC,BUNGOMA,MIXED,DAY,C4,REGULAR
ST MARTIN KATHONZWENI SCHOOL,MAKUENI,BOYS,BOARDING,C2,REGULAR
LUKENYA COMMUNITY SCHOOL -ATHI RIVER,MACHAKOS,MIXED,DAY,PR,REGULAR
ARAMBE,MIGORI,MIXED,BOARDING,C3,REGULAR
MANGU HIGH,KIAMBU,BOYS,BOARDING,C1,REGULAR
KABULWO SEC,ELGEYO MARAKWET,MIXED,BOARDING,C3,REGULAR
FLAMINGO SEC,NAKURU,MIXED,DAY,C4,REGULAR
KATILU GIRLS SEC,TURKANA,GIRLS,BOARDING,C1,REGULAR
ST BENEDICT  HIGH SCHOOL -BUDALANGI,BUSIA,BOYS,BOARDING,C2,REGULAR
NYAWARA GIRLS,SIAYA,GIRLS,BOARDING,C2,REGULAR
MAVOKO,MACHAKOS,BOYS,DAY,C4,REGULAR
NYAMATHI SECONDARY,NAKURU,MIXED,DAY,C4,REGULAR
MARANDA,SIAYA,BOYS,BOARDING,C1,REGULAR
MARERENI,KILIFI,MIXED,DAY,C4,REGULAR
NKAIMURUNYA SEC,KAJIADO,MIXED,DAY,C4,REGULAR
ORERO HIGH,HOMA BAY,BOYS,BOARDING,C1,REGULAR
ST STEPHEN LAIKONG GIRLS SEC,WEST POKOT,GIRLS,BOARDING,C2,REGULAR
ST MAURICE LUNYU,TRANS NZOIA,BOYS,BOARDING,C3,REGULAR
KISUMU GIRLS HIGH SCHOOL,KISUMU,GIRLS,BOARDING,C1,REGULAR
MUTIRA GIRLS,KIRINYAGA,GIRLS,BOARDING,C1,REGULAR
BISHOP MUGE SEC,TRANS NZOIA,GIRLS,BOARDING,C3,REGULAR
MAYORI SECONDARY SCHOOL,Embu,MIXED,BOARDING,C2,REGULAR
FR OUDERAA SEC,SIAYA,MIXED,BOARDING,C1,SNE
ST JOHN THE BAPTIST LIKUYANI BOYS HIGH SCHOOL,KAKAMEGA,BOYS,BOARDING,C2,REGULAR
