"COMPUTER STUDIES,GEOGRAPHY,ISLAMIC RELIGIOUS EDUCATION. CODE: SS2033 | TRACK: HUMANITIES & BUSINESS STUDIES",,,,,
SCHOOL NAME,COUNTY,SEX,ACCOMMODATION,CLUSTER,CATEGORY
DAKABARICHA MIXED DAY SECONDARY SCHOOL,MARSABIT,MIXED,DAY,C4,REGULAR
HASSAN JOHO GIRLS SEC SCH,MOMBASA,GIRLS,DAY,C4,REGULAR
OLEKASASI MIXED DAY SEC,KAJIADO,MIXED,DAY,C4,REGULAR
ACK ST PETERS MIXED DAY SECONDARY SCHOOL,MARSABIT,MIXED,DAY,C4,REGULAR
MANSA MIXED / BOARDING SECONDARY SCHOOL,WAJIR,MIXED,BOARDING,C3,REGULAR
BUNGOMA MUSLIM,BUNGOMA,MIXED,DAY,C4,REGULAR
KIBOKONI SECONDARY SCHOOL,KILIFI,MIXED,DAY,C4,REGULAR
LANGOROMO MIXED SEC,HOMA BAY,MIXED,DAY,C4,REGULAR
ENTANDA SEC,KISII,MIXED,DAY,C4,REGULAR
ANOLE SECONDARY SCHOOL BOYS BOARDING,WAJIR,BOYS,DAY,C4,REGULAR
KAKUMA SEC,TURKANA,BOYS,BOARDING,C3,REGULAR
HULUGHO SEC SCH,GARISSA,BOYS,BOARDING,C3,REGULAR
BARWAQO MIXED DAY SEC,WAJIR,MIXED,DAY,C4,REGULAR
A.I.C CHEPOSEKEK GIRLS SECONDARY SCHOOL,WEST POKOT,GIRLS,DAY,C4,REGULAR
SCHEIKH OMAR MIXED SECONDARY,WAJIR,MIXED,DAY,C4,REGULAR
KIZURINI,KILIFI,MIXED,DAY,C4,REGULAR
NAKURU HIGH SCHOOL,NAKURU,BOYS,BOARDING,C1,INTERGRATED
TETU,GARISSA,BOYS,DAY,C4,REGULAR
WASO,ISIOLO,MIXED,DAY,C4,REGULAR
LEADS SCHOOL,MOMBASA,MIXED,DAY,PR,REGULAR
BARANI HIGH SCHOOL- KANAMAI,KILIFI,MIXED,DAY,C4,REGULAR
ELNUR MIXED DAY BOARDING SECONDARY,WAJIR,MIXED,DAY,C4,REGULAR
NGALA MEMORIAL,KILIFI,MIXED,BOARDING,C3,REGULAR
LIGHT ACADEMY,MOMBASA,MIXED,HYBRID,PR,REGULAR
"SHUUBLOW MIXED DAYN SECONDARY(WAJIR,WAJIR EAST)",WAJIR,MIXED,DAY,C4,REGULAR
KINGWEDE MIXED,KWALE,GIRLS,BOARDING,C2,REGULAR
WAYAM,MANDERA,BOYS,BOARDING,C2,REGULAR
RCEA SONDANY CHEMRKONG GIRLSSECONDARY SCHOOL[WEST POKOT-POKOT SOUTH],WEST POKOT,GIRLS,DAY,C4,REGULAR
KAYA TIWI,KWALE,MIXED,BOARDING,C3,REGULAR
KHALIFA BIN JASIM,KAJIADO,BOYS,BOARDING,PR,REGULAR
FRIENDS SEC SCH MUTSUMA,KAKAMEGA,MIXED,DAY,C4,REGULAR
MWANANYAMALA,KWALE,BOYS,DAY,C4,REGULAR
GARSEN SEC,TANA RIVER,MIXED,BOARDING,C3,REGULAR
SAKUU HIGH SCH,MARSABIT,BOYS,BOARDING,C3,REGULAR
LIBIN NOMADIC GIRLS,MANDERA,GIRLS,BOARDING,C2,REGULAR
HIRIMANI SEC,TANA RIVER,MIXED,BOARDING,C2,REGULAR
ENOOMATASIAN GIRLS SECONDARY SCHOOL,KAJIADO,GIRLS,BOARDING,C2,REGULAR
MNAGEI MIXED,WEST POKOT,MIXED,DAY,C4,REGULAR
COUNTY COUNCIL,GARISSA,MIXED,DAY,C4,REGULAR
ALINJUGUR SEC,GARISSA,MIXED,BOARDING,C3,REGULAR
KAAGA BOYS,MERU,BOYS,BOARDING,C2,REGULAR
COAST GIRLS HIGH SCHOOL,MOMBASA,GIRLS,DAY,C4,REGULAR
KABOKYEK ADVENTIST SECONDARY,KERICHO,MIXED,BOARDING,PR,REGULAR
RABBANI EDUCATION CENTRE,NAIROBI,MIXED,DAY,PR,REGULAR
MIVUMONI SEC,KWALE,MIXED,BOARDING,C3,REGULAR
ST CYPRIAN BOYS,MERU,MIXED,BOARDING,C3,REGULAR
KAJIWE SEC,KILIFI,MIXED,DAY,C4,REGULAR
IBENCHO,KISII,MIXED,DAY,C4,REGULAR
GARI SEC SCH,MANDERA,MIXED,BOARDING,C3,REGULAR
