"ARABIC,COMPUTER STUDIES,FRENCH. CODE: SS1006 | TRACK: LANGUAGES & LITERATURE",,,,,
SCHOOL NAME,COUNTY,SEX,ACCOMMODATION,CLUSTER,CATEGORY
KALULINI HIGH SCH,MAKUENI,BOYS,BOARDING,C2,INTERGRATED
NGALA MEMORIAL,KILIFI,MIXED,BOARDING,C3,REGULAR
Banisa Girls Secondary,MANDERA,GIRLS,DAY,C4,REGULAR
ST FRANCIS OF ASSISI KIRWARA SEC,KIRINYAGA,MIXED,DAY,C4,REGULAR
NDANAI,BOMET,GIRLS,BOARDING,C2,REGULAR
LAMU BOYS SEC,LAMU,BOYS,BOARDING,C2,REGULAR
THE STONE ATHI SCHOOL,KAJIADO,BOYS,BOARDING,PR,REGULAR
ST JAMES MINOR SEMINARY,TURKANA,BOYS,BOARDING,PR,REGULAR
BIMAMU SEC,KAKAMEGA,GIRLS,BOARDING,C3,REGULAR
WAA BOYS HIGH,KWALE,BOYS,BOARDING,C1,REGULAR
KUYWA GIRLS,BUNGOMA,GIRLS,BOARDING,C2,REGULAR
BISHOP ODERA AGONGO,MIGORI,MIXED,DAY,C4,REGULAR
KULMIYE HIGH SCHOOL,WAJIR,MIXED,DAY,PR,REGULAR
NAMAGARA,KAKAMEGA,MIXED,DAY,C4,REGULAR
SHIMO LA TEWA HIGH,MOMBASA,BOYS,BOARDING,C1,REGULAR
KASHANI,MOMBASA,MIXED,DAY,C4,REGULAR
SERICHO SEC,ISIOLO,MIXED,BOARDING,C3,REGULAR
UKIA GIRLS,MAKUENI,GIRLS,BOARDING,C1,REGULAR
LUTSANGANI,KILIFI,BOYS,BOARDING,C2,REGULAR
MRIMA,MOMBASA,MIXED,DAY,C4,REGULAR
MIHANG'O JUNIOR AND SENIOR SCHOOL,NAIROBI,MIXED,DAY,PR,REGULAR
MAMA NGINA SEC,MOMBASA,GIRLS,BOARDING,C1,REGULAR
FRERETOWN  SECONDARY  SCHOOL,MOMBASA,MIXED,DAY,C4,REGULAR
