Code: AS2009 | Track: SPORTS,,,,,
font-medium,flex,ant-tag,ant-tag 2,ant-tag 3,ant-tag 4
MICHATHA,NAKURU,MIXED,DAY,C4,REGULAR
LAKE OLBOLSAT,NYANDARUA,MIXED,DAY,C4,REGULAR
RADAD SECONDARY SCHOOL,BARINGO,MIXED,DAY,C4,REGULAR
IHITHE SEC,NYERI,BOYS,BOARDING,C3,REGULAR
Kamenes Secondary,BOMET,MIXED,DAY,C4,REGULAR
MWAKIRUNGE SEC,MOMBASA,MIXED,DAY,C4,REGULAR
TUMAINI INTERGRATED,NAKURU,MIXED,DAY,C4,REGULAR
KESOGON MIXED,TRANS NZOIA,MIXED,DAY,C4,REGULAR
NDORI B.C. MIXED SEC. SCH,KISUMU,MIXED,DAY,C4,REGULAR
NJORO BOYS SEC,NAKURU,BOYS,BOARDING,C1,REGULAR
NYABERA MIXED,SIAYA,MIXED,DAY,C4,REGULAR
Segutiet Secondary,NAKURU,MIXED,DAY,C4,REGULAR
NYAWARA GIRLS,SIAYA,GIRLS,BOARDING,C2,REGULAR
MUHIGIA SEC,NAKURU,MIXED,DAY,C4,REGULAR
MWANANYAMALA,KWALE,BOYS,DAY,C4,REGULAR
ST MARY'S LWAK GIRLS' HIGH SCHOOL,SIAYA,GIRLS,BOARDING,C1,REGULAR
OJODE PALA MIXED,HOMA BAY,MIXED,BOARDING,C3,REGULAR
TIGITYO SEC,NANDI,MIXED,DAY,C4,REGULAR
THE MADARAS SENIOR SCHOOL AND TALENT CENTER,Migori,Mixed,BOARDING,PR,REGULAR
RCEA NYARPAT MIXED SECONDARY SCHOOL [WEST POKOT-POKOT CENTRAL],WEST POKOT,MIXED,DAY,C4,REGULAR
AC BUTONGE,BUNGOMA,BOYS,BOARDING,C2,REGULAR
NYONDIA,NAKURU,MIXED,DAY,C4,REGULAR
MUTANTHEEU SEC SCHOOL,MAKUENI,MIXED,DAY,C4,REGULAR
UDIRA SEC SCH,SIAYA,MIXED,DAY,C4,REGULAR
ITENDEU SEC,KITUI,MIXED,DAY,C4,REGULAR
NGATATAEK MIXED,KAJIADO,MIXED,BOARDING,C3,REGULAR
KAPSIROWA SEC SCH,TRANS NZOIA,MIXED,DAY,C4,REGULAR
ST PAULS MABUNGE SEC,BUSIA,MIXED,DAY,C4,REGULAR
ST MONICA CHAKOL GIRLS,BUSIA,GIRLS,BOARDING,C2,REGULAR
NYOMBAYATHI,MERU,MIXED,DAY,C4,REGULAR
MOGOR,BOMET,GIRLS,BOARDING,C3,REGULAR
ST CAMULUS OGWEDHI MIXED,KISUMU,MIXED,DAY,C4,REGULAR
MVINDENI SEC,KWALE,MIXED,DAY,C4,REGULAR
ST MICHAEL GATAGATI,NAKURU,MIXED,DAY,C4,REGULAR
NJIRU MIXED DAY SECONDARY,NAIROBI,MIXED,DAY,C4,REGULAR
ST. ANGELA SENGERA GIRLS,KISII,GIRLS,BOARDING,C2,REGULAR
KAMAMA SEC,EMBU,BOYS,BOARDING,C2,REGULAR
ANGINO MIXED,HOMA BAY,MIXED,BOARDING,C3,REGULAR
MUTONGUNI SEC,KITUI,BOYS,BOARDING,C2,REGULAR
SONGA MIXED DAY SECONDARY SCHOOL[MARSABIT-MARSABIT CENTRAL],MARSABIT,MIXED,DAY,C4,REGULAR
KOLA SECONDARY SCHOOL,MAKUENI,GIRLS,BOARDING,PR,REGULAR
ST PATRICK NAITIRI,BUNGOMA,BOYS,BOARDING,C2,REGULAR
DAMACREST SENIOR SCHOOL,Kiambu,MIXED,HYBRID,PR,REGULAR
CHELEZO HIGH SCHOOL,MAKUENI,MIXED,BOARDING,PR,REGULAR
SYUNGII SEC,KITUI,MIXED,DAY,C4,REGULAR
KARIMA,NAKURU,MIXED,DAY,C4,REGULAR
MAKINDU GIRL'S SECONDARY,MAKUENI,GIRLS,BOARDING,C3,REGULAR
LIGHT ACADEMY,MOMBASA,MIXED,HYBRID,PR,REGULAR
LILY MWIHOKO SENIOR SCHOOL,KIAMBU,MIXED,BOARDING,PR,REGULAR
KAMITO GIRLS SECONDARY SCHOOL,WEST POKOT,GIRLS,DAY,C4,REGULAR
ABC KIMWELI SECONDARY SCHOOL,KITUI,MIXED,DAY,C4,REGULAR
KARAS MIXED DAY,WEST POKOT,MIXED,DAY,C4,REGULAR
MUJI SECONDARY,BUNGOMA,MIXED,DAY,C4,REGULAR
Inkiito  Manoh Secondary,KAJIADO,BOYS,DAY,C4,REGULAR
NKORKORRI BOYS SEC,NAROK,BOYS,BOARDING,C3,REGULAR
KANJUIRI SEC,NYANDARUA,MIXED,DAY,C4,REGULAR
ST JOSEPH SECONDARY SCHOOL,EMBU,MIXED,BOARDING,C3,REGULAR
MONIANKU,KISII,MIXED,BOARDING,C3,REGULAR
CHEPKOLON DAY,BOMET,MIXED,DAY,C4,REGULAR
MIRANDO ONGALO SEC,SIAYA,MIXED,DAY,C4,REGULAR
KIPKABUS BOYS HIGH,UASIN GISHU,BOYS,BOARDING,C2,REGULAR
LAMEK NAMUNYAK GIRLS,NAROK,GIRLS,BOARDING,C3,REGULAR
ST ALFRED ALARA,HOMA BAY,MIXED,DAY,C4,REGULAR
NYAMBENE GIRLS,MERU,GIRLS,BOARDING,C3,REGULAR
KAUMA GIRLS SECONDARY SCHOOL,KILIFI,GIRLS,DAY,C4,REGULAR
KAJIUNDUTHI SEC,THARAKA NITHI,BOYS,BOARDING,C2,REGULAR
MOGITUI MIXED DAY SEC,BOMET,MIXED,DAY,C4,REGULAR
KANYAKINE HIGH,MERU,BOYS,BOARDING,C2,REGULAR
ST MAURICE MWIRA,KAKAMEGA,MIXED,BOARDING,C3,REGULAR
KYAMBOO SEC,KITUI,MIXED,BOARDING,C2,REGULAR
THARAKA SEC,THARAKA NITHI,BOYS,BOARDING,C2,REGULAR
KAPWERIA,NAROK,MIXED,DAY,C4,REGULAR
NDURU GIRLS,KISII,GIRLS,BOARDING,C2,REGULAR
ORUBA MIXED SECONDARY SCHOOL,MIGORI,BOYS,BOARDING,C3,REGULAR
KAKIMIRAI SECONDARY,BOMET,MIXED,DAY,C4,REGULAR
MARMANET SECONDARY SCHOOL,LAIKIPIA,MIXED,BOARDING,C3,REGULAR
TALEK GIRLS,NAROK,GIRLS,BOARDING,C3,REGULAR
ABOTHUGUCHI SEC,MERU,BOYS,BOARDING,C2,REGULAR
E&T CONCORD BOYS HIGH SCHOOL,UASIN GISHU,BOYS,BOARDING,PR,REGULAR
KIMURON SEC,ELGEYO MARAKWET,BOYS,BOARDING,C3,REGULAR
MOI NAIKARRA GIRLS SECONDARY {NAROK-NAROK WEST},NAROK,GIRLS,BOARDING,C2,REGULAR
NYANGOMA BOYS,SIAYA,BOYS,BOARDING,C3,REGULAR
ADHIBOHOL MIXED DAY SECONDARY SCHOOL[],Wajir,MIXED,DAY,C4,REGULAR
ALUOR MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
SNR CHIEF KOINANGE GIRLS,KIAMBU,GIRLS,BOARDING,C2,REGULAR
MOMBASA BAPTIST HIGH SCHOOL,Mombasa,MIXED,HYBRID,PR,REGULAR
KIPKEWA SECONDARY SCHOOL,NAKURU,MIXED,DAY,C4,REGULAR
GOIBEI GIRLS,VIHIGA,GIRLS,BOARDING,C2,REGULAR
KANGETA GIRLS,MERU,GIRLS,BOARDING,C2,REGULAR
CHEPNGAINA SECONDARY,BOMET,MIXED,DAY,C4,REGULAR
KITUMBI,TAITA TAVETA,MIXED,HYBRID,C4,REGULAR
MACHAKHA MIXED,BUNGOMA,MIXED,BOARDING,C3,REGULAR
KALENG BOYS SECONDARY,TURKANA,BOYS,DAY,C4,REGULAR
HIGHVIEW SECONDARY SCHOOL,KIAMBU,MIXED,DAY,PR,REGULAR
AKIRANGONDU BOYS,MERU,MIXED,BOARDING,C3,REGULAR
KOKWET,UASIN GISHU,MIXED,DAY,C4,REGULAR
KAMUKUNJI SECONDARY SCHOOL,NAIROBI,MIXED,DAY,C4,REGULAR
KILYUNGI SEC,MAKUENI,MIXED,DAY,C4,REGULAR
BISHOP ABIERO MAGWAR GIRLS,KISUMU,GIRLS,BOARDING,C3,REGULAR
MUTONGONI ACADEMY,MACHAKOS,MIXED,HYBRID,PR,REGULAR
KIBIRICHIA GIRLS,MERU,GIRLS,BOARDING,C2,REGULAR
NYAGICHENCHE SECONDARY SCHOOL,KISII,MIXED,BOARDING,C3,REGULAR
MIRANGINE SEC,NYANDARUA,MIXED,DAY,C4,REGULAR
ST MARY'S KAMBA SECONDARY,BUNGOMA,MIXED,DAY,C4,REGULAR
NGERI MIXED SECONDARY SCHOOL[HOMA BAY-SUBA],HOMA BAY,MIXED,DAY,C4,REGULAR
BARAGORWET SECONDARY SCHOOL[],Narok,MIXED,DAY,C4,REGULAR
KORINKO SECONDARY-LOITOKITOK,KAJIADO,MIXED,DAY,C4,REGULAR
NYAKONDO MIXED,MIGORI,MIXED,DAY,C4,REGULAR
SACHO SENIOR SCHOOL,BARINGO,MIXED,BOARDING,PR,REGULAR
KABUNGUT,BOMET,BOYS,BOARDING,C2,REGULAR
ACK GATONDO SEC,EMBU,MIXED,DAY,C4,REGULAR
KYAANGO MIXED DAY SEC,KITUI,MIXED,DAY,C4,REGULAR
SHIMBA HILLS,KWALE,MIXED,BOARDING,C2,REGULAR
CHEWOYET BOYS,WEST POKOT,BOYS,BOARDING,C1,REGULAR
ADU,KILIFI,MIXED,DAY,C4,REGULAR
ALDAI GIRLS SECONDARY SCHOOL,NANDI,GIRLS,BOARDING,C2,REGULAR
ST URSULA GIRLS,KITUI,GIRLS,BOARDING,C2,REGULAR
KAMONGIL MIXED DAY,BOMET,MIXED,DAY,C4,REGULAR
CHEMANER SECONDARY SCHOOL,NAKURU,MIXED,DAY,C4,REGULAR
MAWENI SEC,MOMBASA,MIXED,DAY,C4,REGULAR
AMBROSE ADEYA ADONGO,SIAYA,MIXED,DAY,C4,REGULAR
ST. ANNE'S SIANGALAMWE,BUNGOMA,MIXED,DAY,C4,REGULAR
AIC SONGOT SEC,TURKANA,BOYS,BOARDING,C3,REGULAR
NJIIRIS BOYS,MURANG'A,BOYS,BOARDING,C1,REGULAR
MUSENGO SEC,KITUI,MIXED,BOARDING,C3,REGULAR
ST. PAUL SIRIWO MIXED SECONDARY,SIAYA,MIXED,DAY,C4,REGULAR
MUAMBA MIXED SEC,KITUI,MIXED,DAY,C4,REGULAR
WEAVER BIRD,TRANS NZOIA,MIXED,HYBRID,PR,REGULAR
MANOR HOUSE HIGH SCHOOL KITALE,TRANS NZOIA,MIXED,HYBRID,PR,REGULAR
NDINDIRUKU MIXED,KIRINYAGA,MIXED,DAY,C4,REGULAR
ST ALPHONSUS MUTEI SEC,ELGEYO MARAKWET,GIRLS,BOARDING,C3,REGULAR
Matharu,UASIN GISHU,MIXED,DAY,C4,REGULAR
KIUNDWANI SEC,MACHAKOS,MIXED,BOARDING,C3,REGULAR
KAROTI GIRLS,KIRINYAGA,GIRLS,BOARDING,C2,REGULAR
MARY LAND SEC,NAKURU,MIXED,DAY,C4,REGULAR
GREEN GARDEN SCHOOL,KIAMBU,MIXED,HYBRID,PR,REGULAR
BUSAKALA SEC,BUNGOMA,MIXED,BOARDING,C3,REGULAR
KATWALA SEC,KITUI,MIXED,DAY,C4,REGULAR
GANDA SEC SCH,KILIFI,MIXED,DAY,C4,REGULAR
KANINGO SEC SCH,KITUI,MIXED,DAY,C4,REGULAR
NYATOTO,HOMA BAY,MIXED,DAY,C4,REGULAR
MULLY CHILDREN'S FAMILY HOME,MACHAKOS,MIXED,BOARDING,PR,REGULAR
KAPENGURIA SCHOOL,WEST POKOT,BOYS,BOARDING,C1,REGULAR
KIMABOLE SEC,BUNGOMA,MIXED,BOARDING,C3,REGULAR
MARJORIE WENDLAND HIGH SCHOOL,SIAYA,MIXED,HYBRID,PR,REGULAR
ST.STEPHEN'S  USINGO,SIAYA,MIXED,DAY,C4,REGULAR
MACHONGO PAG,KISII,MIXED,DAY,C4,REGULAR
AGC CHEMOMOROCH,WEST POKOT,MIXED,DAY,C4,REGULAR
MATUU HGM MEMORIAL GIRLS,MACHAKOS,GIRLS,BOARDING,C3,REGULAR
ST KEVINS SEC,TURKANA,MIXED,DAY,C4,REGULAR
ABAKORE MIXED DAY,WAJIR,MIXED,DAY,C4,REGULAR
ST. MICHAEL PTOYO BOYS SECONDARY,WEST POKOT,BOYS,DAY,C4,REGULAR
MARIAKANI,KILIFI,BOYS,BOARDING,C3,REGULAR
NZAUNI SEC,KITUI,MIXED,BOARDING,C2,REGULAR
ANESTAR PREMIER SENIOR SCHOOL,Nakuru,Mixed,HYBRID,PR,REGULAR
STAREHE BOYS CENTRE,NAIROBI,BOYS,BOARDING,C1,REGULAR
MULOONI,MAKUENI,MIXED,BOARDING,C3,REGULAR
BOMA BOYS HIGH SCHOOL,TRANS NZOIA,BOYS,BOARDING,C2,REGULAR
KIRIMARI BOYS SEC SCHOOL,EMBU,BOYS,BOARDING,C2,REGULAR
KIMOSE SEC,BARINGO,MIXED,HYBRID,C4,REGULAR
CHACHA MORONGE SORORE,MIGORI,MIXED,DAY,C4,REGULAR
ST JOSEPH’S KOGO,KAKAMEGA,MIXED,DAY,C4,REGULAR
"NEWLIGHT SENIOR GIRLS"" SCHOOL",KAJIADO,GIRLS,BOARDING,PR,REGULAR
KAPNGOROT SEC,NAKURU,MIXED,DAY,C4,REGULAR
EMBULBUL MIXED DAY SECONDARY,KAJIADO,MIXED,DAY,C4,REGULAR
AIC KANGITIT BOYS SECONDARY,TURKANA,BOYS,BOARDING,C3,REGULAR
Mimwaita Secondary,NAKURU,MIXED,DAY,C4,REGULAR
NAKEEL BOYS HIGH,KAJIADO,BOYS,BOARDING,C2,REGULAR
NGOTO HIGH SCH,MAKUENI,BOYS,BOARDING,C2,REGULAR
NKOROI MIXED DAY SEC,KAJIADO,MIXED,DAY,C4,REGULAR
MOBIRONA,KISII,MIXED,DAY,C4,REGULAR
RONAKA HOUSE  SCHOOL,NAKURU,MIXED,DAY,PR,REGULAR
JOSHUA OJODE NDERE SEC,HOMA BAY,MIXED,DAY,C4,REGULAR
MIGORI TOWNSHIP COMPLEX SEC,MIGORI,MIXED,BOARDING,C3,REGULAR
KWIHO MIXED SECONDARY SCHOOL,MIGORI,MIXED,DAY,C4,REGULAR
MBITA HIGH,HOMA BAY,BOYS,BOARDING,C1,INTERGRATED
FRIENDS SCHOOL BOKOLI,BUNGOMA,BOYS,BOARDING,C2,REGULAR
KISUMU GIRLS HIGH SCHOOL,KISUMU,GIRLS,BOARDING,C1,REGULAR
MUCHORWE SEC SCH,NAKURU,MIXED,DAY,C4,REGULAR
GARISSA HIGH,GARISSA,BOYS,BOARDING,C1,REGULAR
EBUNANGWE SEC,VIHIGA,BOYS,BOARDING,C3,REGULAR
NGAMIA ONE [KOCHODIN],TURKANA,MIXED,DAY,C4,REGULAR
NYAROHA GIRLS,MIGORI,GIRLS,BOARDING,C2,REGULAR
PONGE LUTHERAN MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
KACHORORONI SEC,KILIFI,MIXED,DAY,C4,REGULAR
ST. IGNATIUS ESIRISIA MIXED DAY,BUSIA,MIXED,DAY,C4,REGULAR
NGUKEMWE HIGH SCHOOL,MACHAKOS,MIXED,DAY,C4,REGULAR
SIRIKWA SEC,NAKURU,MIXED,DAY,C4,REGULAR
KIAIRATHE MIXED SEC,MURANG'A,MIXED,HYBRID,C4,REGULAR
COMPUERA MANGU GIRLS,KIAMBU,GIRLS,HYBRID,PR,REGULAR
BUYONGE,KISII,MIXED,DAY,C4,REGULAR
NJABINI BOYS,NYANDARUA,BOYS,BOARDING,C1,REGULAR
KAMBANDI SEC,THARAKA NITHI,MIXED,BOARDING,C3,REGULAR
RAMBA BOYS SEC,SIAYA,BOYS,BOARDING,C2,REGULAR
KANGUBIRI GIRLS,NYERI,GIRLS,BOARDING,C2,REGULAR
AGC LOKICHAR BOYS SECONDARY,TURKANA,BOYS,BOARDING,C3,REGULAR
KEROTET GIRLS,UASIN GISHU,GIRLS,BOARDING,C2,REGULAR
SAGEGI MIXED,MIGORI,MIXED,BOARDING,C3,REGULAR
ST. CHRISTOPHER'S GIRLS HIGH,TRANS NZOIA,GIRLS,DAY,C4,REGULAR
KAPUTIR MIXED SECONDARY,TURKANA,MIXED,BOARDING,C3,REGULAR
ST JOSEPHS KAPKENYELOI,NANDI,MIXED,DAY,C4,REGULAR
KALII SECONDARY SCHOOL,MAKUENI,MIXED,DAY,C4,REGULAR
KATIRA MIXED SEC,BUSIA,MIXED,DAY,C4,REGULAR
SIKUSI SEC,BUNGOMA,BOYS,BOARDING,C3,REGULAR
MOI FORCES LANET,NAKURU,GIRLS,BOARDING,C1,REGULAR
WINGEMI MIXED  DAY SEC SCH,KITUI,MIXED,DAY,C4,REGULAR
AGORO SARE MIXED,HOMA BAY,MIXED,DAY,C4,REGULAR
MALAVA BOYS,KAKAMEGA,BOYS,BOARDING,C2,REGULAR
MWINGI BOYS,KITUI,BOYS,BOARDING,C2,REGULAR
WATUHA SEC,MURANG'A,MIXED,HYBRID,C4,REGULAR
NYAKEIRI SEC,KISII,BOYS,BOARDING,C3,REGULAR
MASARA MIXED,MIGORI,MIXED,BOARDING,C3,REGULAR
WANG'APALA BOYS,HOMA BAY,BOYS,BOARDING,C2,REGULAR
ACK MUKENGESYA SEC SCH,MACHAKOS,MIXED,DAY,C4,REGULAR
MASINDONI SEC,BOMET,MIXED,DAY,C4,REGULAR
ST ELIZABETH GIRLS SECONDARY CHEPKUNYUK,NANDI,GIRLS,BOARDING,C3,REGULAR
SERANI BOYS,MOMBASA,BOYS,DAY,C4,REGULAR
KIMALEL SEC SCH,BARINGO,GIRLS,DAY,C4,REGULAR
DUNGICHA SEC,KILIFI,MIXED,DAY,C4,REGULAR
KISIMA SEC,MERU,MIXED,BOARDING,C3,REGULAR
MULANGO GIRLS SEC,KITUI,GIRLS,BOARDING,C2,REGULAR
ST. PHILOMENA NGURUNA MIXED SECONDARY,MIGORI,MIXED,DAY,C4,REGULAR
SHANGIA,KILIFI,MIXED,DAY,C4,REGULAR
ST. FRANCIS KISIGAME SECONDARY,KAKAMEGA,MIXED,DAY,C4,REGULAR
KANJINJI MIXED,KIRINYAGA,MIXED,DAY,C4,REGULAR
KIKELELWA SEC,KAJIADO,MIXED,DAY,C4,REGULAR
MASINDE MULIRO MEMORIAL,TRANS NZOIA,MIXED,DAY,C4,REGULAR
KITENGELA INTERNATIONAL SCHOOL,KAJIADO,GIRLS,BOARDING,PR,REGULAR
