,,,
,,,
,,,
Pathway,Track,Subject Combination,Code
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Geography,Sports & Recreation",AS2009
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Computer Studies,French",SS1006
STEM,TECHNICAL STUDIES,"General Science,Marine & Fisheries,Media Technology",ST3050
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,Geography,Islamic Religious Education",SS2033
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,Mandarine Chinese",SS2050
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Physics",ST2007
STEM,APPLIED SCIENCES,"Agriculture,Building & Construction,Business Studies",ST2045
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,Fasihi ya Kiswahili,Indigenous Language",SS1040
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"General Science,Indigenous Language,Literature in English",SS1060
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,History & Citizenship",SS2019
ARTS & SPORTS SCIENCE,ARTS,"Computer Studies,Fine Arts,Music & Dance",AS1021
STEM,APPLIED SCIENCES,"Agriculture,Aviation,Geography",ST2070
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Christian Religious Education,Kenya Sign Language",SS1059
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,French",SS2112
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Islamic Religious Education,Sports & Recreation",AS2006
ARTS & SPORTS SCIENCE,SPORTS,"Biology,History & Citizenship,Sports & Recreation",AS2011
STEM,TECHNICAL STUDIES,"Aviation,Geography,Physics",ST3121
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Geography,Hindu Religious Education",SS2055
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,General Science,Kenya Sign Language",SS1037
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Media Technology",ST3074
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Physics",ST2067
STEM,PURE SCIENCES,"Biology,Building & Construction,Chemistry",ST1044
STEM,APPLIED SCIENCES,"Advanced Mathematics,Agriculture,Home Science",ST2091
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,German,History & Citizenship",SS2099
STEM,APPLIED SCIENCES,"Agriculture,Geography,Physics",ST2075
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,Literature in English",SS2061
STEM,APPLIED SCIENCES,"Computer Studies,Home Science,Wood Work",ST2019
ARTS & SPORTS SCIENCE,ARTS,"Literature in English,Music & Dance,Theatre & Film",AS1049
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Electricity",ST2048
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,General Science,Music & Dance",AS1027
STEM,TECHNICAL STUDIES,"Biology,Business Studies,Metal Work",ST3084
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,French,Mandarine Chinese",SS1084
STEM,PURE SCIENCES,"Agriculture,Biology,Chemistry",ST1042
STEM,TECHNICAL STUDIES,"Geography,Metal Work,Physics",ST3105
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,Kenya Sign Language",SS2118
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,German,Hindu Religious Education",SS2002
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,Fasihi ya Kiswahili,Kenya Sign Language",SS1044
ARTS & SPORTS SCIENCE,ARTS,"Business Studies,Music & Dance,Theatre & Film",AS1038
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Literature in English,Sports & Recreation",AS2027
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"General Science,Geography,Hindu Religious Education",SS2041
STEM,TECHNICAL STUDIES,"Biology,Geography,Power Mechanics",ST3013
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,General Science",ST2049
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Hindu Religious Education,Theatre & Film",AS1007
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,Geography,History & Citizenship",SS2024
STEM,TECHNICAL STUDIES,"Electricity,General Science,Home Science",ST3008
ARTS & SPORTS SCIENCE,ARTS,"Hindu Religious Education,Music & Dance,Theatre & Film",AS1042
STEM,APPLIED SCIENCES,"Agriculture,Building & Construction,Computer Studies",ST2058
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,History & Citizenship,Mandarine Chinese",SS2092
STEM,APPLIED SCIENCES,"Biology,Business Studies,Computer Studies",ST2097
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,General Science",SS1014
ARTS & SPORTS SCIENCE,SPORTS,"General Science,History & Citizenship,Sports & Recreation",AS2026
STEM,TECHNICAL STUDIES,"General Science,Marine & Fisheries,Power Mechanics",ST3118
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Christian Religious Education,History & Citizenship",SS2057
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"German,Indigenous Language,Literature in English",SS1065
STEM,APPLIED SCIENCES,"Advanced Mathematics,Business Studies,Computer Studies",ST2077
STEM,TECHNICAL STUDIES,"Advanced Mathematics,General Science,Marine & Fisheries",ST3047
STEM,TECHNICAL STUDIES,"Chemistry,Geography,Power Mechanics",ST3015
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,History & Citizenship,Literature in English",SS2004
STEM,PURE SCIENCES,"Advanced Mathematics,Business Studies,General Science",ST1026
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,Indigenous Language",SS2065
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Business Studies,Geography",SS2056
ARTS & SPORTS SCIENCE,ARTS,"Biology,Fine Arts,Theatre & Film",AS1002
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,German,Islamic Religious Education",SS2003
STEM,PURE SCIENCES,"Advanced Mathematics,Electricity,Physics",ST1035
STEM,TECHNICAL STUDIES,"Business Studies,Geography,Media Technology",ST3068
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Building & Construction",ST1005
ARTS & SPORTS SCIENCE,ARTS,"Arabic,Music & Dance,Theatre & Film",AS1036
